Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Moses Malone\malonmo01,1982-83,27,PHI,NBA,21.6,78,78,2922,25.1,.001,.604,16.8,25.9,5.1,1.4,3.0,13.8,26.0,116,97,9.1,6.0,15.1,.248,2.9,0.5,3.4,4.0
2,LaSalle Thompson\thompla01,1982-83,21,KCK,NBA,20.5,71,3,987,14.7,.003,.477,14.6,26.5,4.2,1.8,3.5,21.7,17.3,101,99,0.5,1.7,2.3,.110,-2.2,1.1,-1.1,0.2
3,Artis Gilmore\gilmoar01,1982-83,33,SAS,NBA,19.2,82,82,2797,21.2,.007,.559,12.1,25.8,6.1,0.7,3.7,18.7,19.4,119,103,7.5,3.5,11.0,.189,2.5,1.1,3.6,4.0
4,Robert Parish\parisro01,1982-83,29,BOS,NBA,18.1,78,76,2459,23.0,.001,.345,11.4,24.6,8.4,1.5,3.3,12.5,23.6,114,98,6.2,4.6,10.8,.211,2.4,1.5,4.0,3.7
5,Bill Laimbeer\laimbbi01,1982-83,25,DET,NBA,18.0,82,82,2871,16.6,.015,.353,10.0,26.3,12.1,0.8,2.2,14.8,16.0,113,103,4.9,3.6,8.5,.142,0.6,1.7,2.3,3.1
6,Jack Sikma\sikmaja01,1982-83,27,SEA,NBA,17.8,75,71,2564,19.6,.008,.458,9.3,25.7,12.6,1.6,1.3,13.2,22.5,111,99,5.2,4.6,9.8,.183,1.3,1.9,3.2,3.4
7,Marvin Webster\webstma01,1982-83,30,NYK,NBA,17.7,82,0,1472,14.0,.003,.544,13.9,21.5,4.7,1.2,5.5,19.9,14.8,102,96,0.8,3.2,4.0,.130,-2.1,3.8,1.7,1.4
8,Mike Gminski\gminsmi01,1982-83,23,NJN,NBA,17.2,80,1,1255,18.4,.002,.528,14.0,20.3,6.7,1.3,5.4,19.4,20.4,107,96,1.7,2.6,4.3,.166,-1.0,2.3,1.3,1.0
9,Jeff Ruland\rulanje01,1982-83,24,WSB,NBA,16.8,79,47,2862,19.4,.003,.518,11.2,22.6,12.9,1.2,1.5,18.7,23.0,107,98,4.6,5.5,10.1,.169,1.9,2.4,4.3,4.6
10,Alton Lister\listeal01,1982-83,24,MIL,NBA,16.6,80,37,1885,13.8,.000,.471,10.3,22.3,8.0,1.3,5.2,23.1,17.7,95,96,-0.2,3.9,3.8,.096,-2.4,3.6,1.2,1.5
11,Wayne Cooper\coopewa01,1982-83,26,POR,NBA,16.3,80,60,2099,12.4,.007,.272,11.4,21.3,7.6,0.6,3.6,16.7,18.8,97,102,0.1,2.8,2.9,.067,-2.4,1.2,-1.2,0.4
12,Tree Rollins\rollitr01,1982-83,27,ATL,NBA,16.0,80,80,2472,15.4,.002,.264,9.1,22.8,4.1,1.0,7.8,14.3,11.2,109,97,2.3,5.0,7.3,.142,-1.8,5.4,3.6,3.5
13,Dave Corzine\corzida01,1982-83,26,CHI,NBA,15.4,82,71,2496,15.1,.002,.350,10.4,20.3,8.7,0.9,2.3,17.7,20.0,103,107,1.9,2.0,4.0,.076,-0.7,0.2,-0.6,0.9
14,Mark Eaton\eatonma01,1982-83,26,UTA,NBA,15.4,81,32,1528,11.0,.003,.255,5.9,24.4,9.2,0.7,9.2,26.3,13.6,81,98,-2.1,2.9,0.8,.026,-6.4,5.5,-0.8,0.5
15,Rich Kelley\kelleri01,1982-83,29,TOT,NBA,15.3,70,23,1345,12.2,.000,.597,10.0,20.3,12.2,1.8,1.5,24.2,13.8,103,104,0.9,1.5,2.4,.086,-1.5,1.5,0.0,0.7
16,James Donaldson\donalja01,1982-83,25,SEA,NBA,14.9,82,11,1789,15.6,.000,.440,8.2,21.1,7.3,0.5,3.0,18.2,16.2,110,101,2.5,2.6,5.1,.138,-0.7,1.4,0.6,1.2
17,Caldwell Jones\jonesca01,1982-83,32,HOU,NBA,14.7,82,82,2440,12.3,.003,.304,9.2,20.9,7.9,0.9,3.0,18.2,15.4,98,106,0.4,2.1,2.5,.050,-2.5,1.5,-1.0,0.6
18,Clemon Johnson\johnscl01,1982-83,26,TOT,NBA,14.6,83,11,1914,15.3,.002,.310,10.5,18.9,9.5,1.6,2.7,15.8,16.1,107,104,2.1,2.2,4.3,.109,-0.2,1.3,1.1,1.5
19,Harvey Catchings\catchha01,1982-83,31,MIL,NBA,14.4,74,33,1554,9.8,.000,.467,9.8,18.6,6.0,0.8,5.3,25.9,8.5,99,98,0.3,2.8,3.1,.096,-2.9,4.3,1.5,1.4
20,Kurt Nimphius\nimphku01,1982-83,24,DAL,NBA,14.4,81,12,1515,12.5,.003,.394,11.0,17.9,9.3,0.7,4.0,13.7,12.6,111,107,1.8,1.1,2.9,.093,-0.4,1.5,1.0,1.2
21,Rick Mahorn\mahorri01,1982-83,24,WSB,NBA,14.3,82,82,3023,11.6,.004,.331,6.2,22.5,5.4,1.4,2.8,16.2,14.4,97,96,0.0,6.2,6.2,.099,-3.0,3.8,0.8,2.1
22,Danny Schayes\schayda01,1982-83,23,TOT,NBA,14.1,82,50,2284,12.1,.001,.394,9.1,19.0,11.7,1.0,2.2,22.4,19.1,95,105,-0.4,2.3,2.0,.041,-2.2,0.9,-1.4,0.4
23,Bill Cartwright\cartwbi01,1982-83,25,NYK,NBA,14.0,82,82,2468,19.0,.000,.636,8.7,19.5,8.6,0.8,3.2,16.5,21.3,114,99,5.7,4.4,10.1,.197,1.6,2.1,3.7,3.6
24,Mychal Thompson\thompmy01,1982-83,28,POR,NBA,14.0,80,80,3017,15.4,.001,.388,6.8,21.3,17.8,1.1,2.1,18.9,20.1,100,103,1.5,3.9,5.4,.086,-0.3,2.3,2.0,3.1
25,Steve Johnson\johnsst03,1982-83,25,KCK,NBA,13.9,79,21,1544,18.1,.000,.545,9.8,18.1,8.8,1.2,3.0,19.6,22.8,108,103,2.5,1.9,4.4,.137,1.0,0.3,1.3,1.3
26,Len Elmore\elmorle01,1982-83,30,NJN,NBA,13.8,74,0,975,8.2,.004,.344,9.5,18.0,5.1,2.1,2.3,22.8,14.7,85,97,-1.0,1.9,0.9,.045,-5.0,2.1,-2.9,-0.2
