Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Buck Williams\willibu01,1982-83,22,NJN,NBA,19.6,82,82,2961,18.6,.004,.573,14.1,25.0,5.9,1.4,2.2,17.7,18.4,112,97,5.5,5.9,11.4,.185,1.4,1.9,3.3,3.9
2,Cliff Robinson\robincl01,1982-83,22,CLE,NBA,18.7,77,75,2601,17.5,.004,.245,8.1,29.9,9.3,1.2,1.3,14.1,25.6,99,103,1.2,3.2,4.4,.081,-1.3,0.1,-1.2,0.5
3,Dave Greenwood\greenda01,1982-83,25,CHI,NBA,17.4,79,61,2355,13.0,.006,.340,9.9,24.9,8.5,1.0,2.0,16.3,15.5,102,105,1.3,2.3,3.6,.073,-1.7,1.0,-0.7,0.8
4,Maurice Lucas\lucasma01,1982-83,30,PHO,NBA,17.1,77,71,2586,16.1,.003,.341,9.0,24.5,11.9,1.0,0.9,15.5,22.5,103,99,2.4,4.7,7.1,.132,-0.6,1.0,0.4,1.6
5,Clark Kellogg\kellocl01,1982-83,21,IND,NBA,16.8,81,81,2761,20.3,.013,.248,12.6,21.3,11.7,2.4,0.9,12.1,25.5,107,106,4.4,2.4,6.8,.119,2.2,-0.2,2.0,2.8
6,Terry Cummings\cummite01,1982-83,21,SDC,NBA,16.7,70,69,2531,22.8,.001,.315,12.6,21.6,10.9,2.4,1.4,12.0,26.0,113,106,6.5,2.2,8.7,.164,3.8,-0.3,3.5,3.5
7,Dan Roundfield\roundda01,1982-83,29,ATL,NBA,16.6,77,76,2811,18.8,.023,.377,9.8,23.4,12.4,1.0,2.3,15.0,24.2,103,100,2.9,4.5,7.4,.127,0.7,1.7,2.4,3.1
8,Kurt Rambis\rambiku01,1982-83,24,LAL,NBA,16.3,78,77,1806,14.1,.005,.402,10.5,21.5,5.7,2.7,1.9,23.0,13.8,106,101,1.6,2.8,4.3,.116,-0.3,2.0,1.8,1.7
9,Ed Nealy\nealyed01,1982-83,22,KCK,NBA,16.0,82,61,1643,11.6,.000,.462,11.2,20.7,4.4,1.9,0.4,14.6,8.1,125,103,2.6,2.1,4.7,.137,0.2,1.4,1.5,1.5
10,Truck Robinson\robintr01,1982-83,31,NYK,NBA,15.9,81,76,2426,10.7,.000,.285,9.5,22.4,8.6,1.2,0.6,19.3,17.3,93,99,-1.0,4.2,3.3,.065,-2.6,2.1,-0.5,0.9
11,Larry Bird\birdla01,1982-83,26,BOS,NBA,15.7,79,79,2982,24.1,.052,.282,7.0,24.2,22.4,2.3,1.3,12.6,25.0,115,98,8.4,5.6,14.0,.225,4.7,2.9,7.6,7.2
12,Pat Cummings\cummipa01,1982-83,26,DAL,NBA,15.5,81,71,2317,14.6,.001,.223,10.3,21.0,8.4,1.1,0.8,14.4,19.2,106,108,2.5,1.5,4.0,.084,0.0,-0.7,-0.7,0.8
13,Bill Garnett\garnebi02,1982-83,22,DAL,NBA,15.5,75,13,1411,15.0,.009,.545,10.6,20.6,9.0,1.6,2.7,17.0,13.4,117,106,2.6,1.3,3.9,.133,0.6,1.4,2.1,1.5
14,James Bailey\baileja01,1982-83,25,TOT,NBA,14.4,75,39,1765,15.6,.001,.416,9.8,19.6,6.0,1.1,1.9,17.6,25.2,99,106,0.6,1.4,2.0,.055,-1.7,-1.5,-3.1,-0.5
15,Earl Cureton\curetea01,1982-83,25,PHI,NBA,14.4,73,3,987,8.1,.000,.260,9.4,19.0,5.5,1.8,1.3,20.9,14.6,87,99,-0.9,1.7,0.8,.041,-3.9,1.5,-2.4,-0.1
16,Dwight Jones\jonesdw01,1982-83,30,TOT,NBA,14.4,81,2,1164,9.2,.003,.378,7.9,20.6,6.7,1.2,1.0,21.0,16.1,93,106,-0.4,1.1,0.6,.027,-3.9,-0.6,-4.4,-0.7
17,Elvin Hayes\hayesel01,1982-83,37,HOU,NBA,14.3,81,43,2302,14.7,.004,.322,8.7,20.7,10.4,1.0,2.0,16.4,21.1,98,107,0.6,1.8,2.4,.050,-1.5,0.2,-1.3,0.4
18,Edgar Jones\jonesed01,1982-83,26,TOT,NBA,14.3,77,28,1658,13.9,.019,.597,8.7,19.9,6.9,1.2,3.5,19.4,17.7,104,103,1.4,2.0,3.4,.098,-1.8,0.8,-1.0,0.4
19,Greg Kelser\kelsegr01,1982-83,25,SEA,NBA,14.3,80,9,1507,14.7,.007,.571,11.7,16.6,8.6,1.6,1.2,20.9,18.9,106,102,1.7,2.1,3.9,.123,0.0,0.8,0.8,1.1
