Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Russell Westbrook\westbru01,2016-17,28,OKC,NBA,17.1,81,81,2802,30.6,.300,.433,5.4,28.8,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,13.1,.224,10.9,4.7,15.5,12.4
2,Jeremy Lamb\lambje01,2016-17,24,CHO,NBA,12.7,62,5,1143,17.0,.297,.263,2.9,22.6,11.3,1.2,1.8,6.8,23.2,109,108,1.4,1.3,2.7,.115,-0.8,-0.9,-1.7,0.1
3,James Harden\hardeja01,2016-17,27,HOU,NBA,12.2,81,81,2947,27.3,.493,.575,3.5,20.9,50.7,2.0,1.0,19.5,34.2,118,107,11.5,3.6,15.0,.245,8.7,1.5,10.1,9.0
4,Tony Allen\allento01,2016-17,35,MEM,NBA,11.7,71,66,1914,13.3,.091,.218,9.6,13.8,8.4,3.1,1.4,13.3,17.9,101,105,0.2,2.9,3.1,.077,-1.8,2.4,0.6,1.3
5,Justin Anderson\anderju01,2016-17,23,TOT,NBA,11.3,75,10,1228,13.9,.443,.295,6.2,16.9,8.8,1.7,1.6,11.8,20.9,104,109,0.6,1.3,1.9,.075,-1.2,-0.3,-1.5,0.1
6,Patrick Beverley\beverpa01,2016-17,28,HOU,NBA,10.4,67,67,2058,13.0,.529,.175,5.0,15.9,18.8,2.3,1.0,14.6,14.1,116,108,2.9,2.4,5.3,.123,0.8,1.5,2.3,2.2
7,Rajon Rondo\rondora01,2016-17,30,CHI,NBA,10.4,69,42,1843,13.6,.237,.089,4.2,16.6,37.0,2.7,0.5,22.4,17.8,99,105,-0.3,2.7,2.3,.061,-1.3,1.6,0.3,1.1
8,Terry Rozier\roziete01,2016-17,22,BOS,NBA,10.0,74,0,1263,10.8,.436,.161,3.6,16.3,15.2,1.8,0.7,9.7,17.1,100,108,0.0,1.4,1.4,.054,-2.5,0.0,-2.5,-0.2
9,Glenn Robinson\robingl02,2016-17,23,IND,NBA,9.6,69,27,1426,11.4,.369,.224,4.5,14.6,4.7,1.4,1.2,9.0,12.9,112,110,1.3,1.2,2.5,.084,-1.2,-0.2,-1.4,0.2
10,Andre Roberson\roberan03,2016-17,25,OKC,NBA,9.4,79,79,2376,9.6,.396,.240,4.6,14.2,4.6,1.9,2.7,9.1,10.0,108,107,1.1,3.1,4.2,.085,-2.1,2.1,0.1,1.2
11,Thabo Sefolosha\sefolth01,2016-17,32,ATL,NBA,9.3,62,42,1596,11.9,.304,.190,3.8,14.7,9.9,3.0,1.7,11.9,13.3,105,103,0.6,2.7,3.3,.098,-1.9,3.1,1.2,1.3
12,Jimmy Butler\butleji01,2016-17,27,CHI,NBA,9.0,76,75,2809,25.1,.198,.540,4.9,13.2,24.8,2.6,0.9,9.3,26.5,123,106,10.0,3.8,13.8,.236,5.8,1.1,6.9,6.3
13,Chris Paul\paulch01,2016-17,31,LAC,NBA,8.8,61,61,1921,26.2,.385,.331,2.5,14.9,46.8,3.0,0.3,14.0,24.4,126,106,8.0,2.6,10.6,.264,7.7,0.9,8.6,5.2
14,Elfrid Payton\paytoel01,2016-17,22,ORL,NBA,8.7,82,58,2412,17.2,.160,.231,3.9,13.8,35.7,1.8,1.3,15.0,21.6,107,111,2.4,2.0,4.4,.088,0.7,0.2,0.9,1.7
15,Will Barton\bartowi01,2016-17,26,DEN,NBA,8.4,60,19,1705,15.5,.352,.285,3.8,12.9,17.7,1.4,1.3,11.4,21.1,112,114,2.5,0.8,3.3,.092,1.3,-1.0,0.2,1.0
16,Sean Kilpatrick\kilpase01,2016-17,27,BRK,NBA,8.4,70,24,1754,13.1,.419,.329,1.3,15.4,14.6,1.2,0.3,13.9,23.9,101,112,0.3,1.1,1.4,.039,-1.2,-1.8,-3.0,-0.4
17,DeMar DeRozan\derozde01,2016-17,27,TOR,NBA,8.3,74,74,2620,24.0,.080,.419,3.0,13.6,20.6,1.5,0.4,9.0,34.3,113,110,6.7,2.4,9.0,.166,2.4,-1.5,0.9,1.9
18,Andre Iguodala\iguodan01,2016-17,33,GSW,NBA,8.3,76,0,1998,14.3,.427,.246,3.0,13.1,16.7,1.8,1.5,11.2,11.2,129,105,4.1,2.9,6.9,.167,1.3,1.7,3.0,2.5
19,Evan Turner\turneev01,2016-17,28,POR,NBA,8.3,65,12,1658,11.4,.214,.187,2.4,14.2,18.4,1.6,1.2,14.3,18.5,100,111,0.0,1.2,1.2,.035,-2.5,-0.1,-2.6,-0.3
20,Dwyane Wade\wadedw01,2016-17,35,CHI,NBA,8.2,60,59,1792,18.5,.152,.294,3.8,12.6,22.4,2.4,1.8,11.3,29.6,103,106,0.9,2.5,3.4,.090,0.4,0.6,1.0,1.4
21,Eric Bledsoe\bledser01,2016-17,27,PHO,NBA,8.0,66,66,2176,20.6,.300,.443,2.5,13.8,31.1,2.0,1.2,15.3,28.1,111,112,4.0,1.4,5.4,.119,3.7,-0.4,3.3,2.9
22,Buddy Hield\hieldbu01,2016-17,23,TOT,NBA,7.8,82,55,1888,11.8,.493,.099,2.0,13.5,10.3,1.0,0.4,11.2,21.4,100,112,0.0,1.3,1.3,.032,-0.9,-1.9,-2.8,-0.4
23,DeAndre Liggins\liggide01,2016-17,28,TOT,NBA,7.7,62,19,777,7.5,.324,.282,2.9,12.2,9.2,3.0,1.5,20.8,11.6,92,107,-0.4,0.9,0.5,.031,-3.9,1.8,-2.1,0.0
24,Joe Johnson\johnsjo02,2016-17,35,UTA,NBA,7.6,78,14,1843,12.7,.412,.123,2.1,12.7,12.6,1.0,0.8,9.5,18.5,109,108,1.7,2.1,3.8,.098,-0.1,-0.1,-0.2,0.8
25,Damian Lillard\lillada01,2016-17,26,POR,NBA,7.6,75,75,2694,24.1,.388,.366,1.9,13.3,28.7,1.3,0.6,10.2,31.5,118,113,8.8,1.5,10.3,.184,6.4,-2.0,4.3,4.3
26,Justin Holiday\holidju01,2016-17,27,NYK,NBA,7.4,82,4,1639,12.7,.507,.149,1.8,13.1,9.2,2.0,1.5,10.3,16.9,108,111,1.3,1.2,2.5,.073,-0.3,-0.8,-1.1,0.4
27,Tyler Johnson\johnsty01,2016-17,24,MIA,NBA,7.4,73,0,2178,15.9,.303,.308,2.5,12.5,16.6,1.9,1.6,8.8,20.9,112,107,3.1,2.7,5.8,.128,0.7,0.7,1.5,1.9
28,Stephen Curry\curryst01,2016-17,28,GSW,NBA,7.3,79,79,2638,24.7,.547,.251,2.7,11.4,31.1,2.6,0.5,12.9,30.1,119,105,8.7,3.9,12.6,.229,7.8,-0.4,7.4,6.2
29,Kris Dunn\dunnkr01,2016-17,22,MIN,NBA,7.3,78,7,1333,8.1,.233,.188,2.1,12.6,19.4,3.0,2.3,20.8,14.2,90,109,-1.2,1.3,0.1,.004,-3.7,1.5,-2.2,-0.1
30,Rodney Hood\hoodro01,2016-17,24,UTA,NBA,7.3,59,55,1593,12.4,.459,.173,1.2,13.1,10.1,1.3,0.6,8.3,22.9,104,107,0.7,1.9,2.6,.079,-0.3,-0.9,-1.2,0.3
31,Bojan Bogdanovic\bogdabo02,2016-17,27,TOT,NBA,7.2,81,54,2083,13.5,.464,.288,1.9,12.3,8.7,0.8,0.3,12.0,22.4,108,114,2.0,0.9,2.9,.067,-0.1,-2.8,-2.8,-0.4
32,Vince Carter\cartevi01,2016-17,40,MEM,NBA,7.2,73,15,1799,11.7,.604,.235,2.2,12.5,11.5,1.7,1.9,8.5,14.9,112,108,1.9,2.1,4.0,.106,0.1,0.9,1.0,1.4
33,Kyle Lowry\lowryky01,2016-17,30,TOR,NBA,7.2,60,60,2244,22.9,.510,.398,2.4,12.0,29.9,2.0,0.7,13.8,24.9,123,109,7.8,2.3,10.1,.216,7.1,-0.5,6.6,4.9
34,Rodney McGruder\mcgruro01,2016-17,25,MIA,NBA,7.2,78,65,1966,9.1,.478,.154,5.3,9.2,8.8,1.2,0.7,10.2,12.3,108,110,1.2,1.7,2.9,.072,-0.8,0.5,-0.4,0.8
35,C.J. Miles\milescj01,2016-17,29,IND,NBA,7.2,76,29,1776,13.7,.632,.144,1.9,12.4,4.1,1.3,1.2,5.5,18.4,115,111,2.7,1.4,4.0,.109,1.5,-2.1,-0.5,0.7
