Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Position,ID
Magic Johnson,1982-83,23,LAL,NBA,13.0,79,79,2907,23.0,.023,.407,8.5,17.1,34.4,2.8,0.9,21.5,19.0,119,103,8.8,3.8,12.5,.207,5.1,2.3,7.4,6.9,Guard,johnsma02
T.R. Dunn,1982-83,27,DEN,NBA,11.8,82,80,2640,11.4,.002,.309,8.8,14.7,7.9,2.4,0.5,15.9,10.0,111,108,2.6,1.8,4.4,.079,0.5,1.6,2.1,2.8,Guard,dunntr01
Lewis Lloyd,1982-83,23,GSW,NBA,10.4,73,24,1350,17.1,.007,.246,6.0,15.2,13.8,2.1,1.3,15.8,21.7,105,106,1.5,1.1,2.6,.092,0.1,-0.3,-0.2,0.6,Guard,lloydle01
Paul Pressey,1982-83,24,MIL,NBA,10.1,79,18,1528,12.8,.019,.378,6.3,13.6,18.3,3.1,1.7,23.0,19.1,92,98,-0.9,2.8,2.0,.062,-2.1,2.8,0.7,1.0,Guard,presspa01
Sidney Moncrief,1982-83,25,MIL,NBA,8.9,76,76,2710,22.6,.009,.522,8.2,9.5,16.9,2.0,0.5,12.2,24.7,120,103,9.7,3.5,13.2,.233,5.4,0.3,5.7,5.3,Guard,moncrsi01
Lester Conner,1982-83,23,GSW,NBA,8.4,75,10,1416,14.0,.013,.373,5.1,12.0,21.9,3.8,0.3,21.9,12.5,106,105,1.2,1.5,2.7,.092,-0.3,1.6,1.3,1.2,Guard,connele01
Bob Wilkerson,1982-83,28,CLE,NBA,8.1,77,11,1702,9.2,.008,.243,4.0,12.3,15.9,2.0,0.5,22.1,17.9,87,107,-1.7,1.4,-0.3,-.010,-3.7,0.5,-3.2,-0.5,Guard,wilkebo01
Ray Williams,1982-83,28,KCK,NBA,8.1,72,68,2170,14.4,.069,.312,4.6,11.7,35.1,2.5,0.7,21.6,27.5,93,104,-1.5,2.4,0.9,.021,-0.8,0.4,-0.4,0.9,Guard,willira01
Bill Hanzlik,1982-83,25,DEN,NBA,7.7,82,8,1547,10.6,.016,.366,5.2,10.2,19.7,2.1,0.5,22.1,15.6,98,109,0.3,0.7,1.0,.030,-1.5,-0.6,-2.1,-0.1,Guard,hanzlbi01
Billy Knight,1982-83,30,IND,NBA,7.7,80,54,2262,18.7,.019,.415,6.9,8.6,12.0,1.3,0.2,14.2,23.6,114,112,5.5,0.3,5.8,.123,2.5,-2.7,-0.2,1.0,Guard,knighbi01
Clint Richardson,1982-83,26,PHI,NBA,7.4,77,1,1755,11.4,.011,.199,6.2,8.6,12.6,1.9,0.6,14.0,16.0,103,103,1.1,2.2,3.3,.090,-0.6,0.9,0.4,1.0,Guard,richacl01
Al Wood,1982-83,24,SDC,NBA,7.4,76,47,1822,13.0,.068,.218,5.6,9.5,10.1,1.4,1.2,12.0,19.7,105,111,1.9,0.4,2.3,.061,-0.5,-2.0,-2.4,-0.2,Guard,woodal01
Tracy Jackson,1982-83,23,CHI,NBA,7.3,78,3,1309,11.9,.031,.296,7.1,7.5,10.9,2.2,0.4,14.7,16.7,104,109,1.0,0.7,1.7,.062,-0.8,-0.9,-1.7,0.1,Guard,jackstr01
Vinnie Johnson,1982-83,26,DET,NBA,7.3,82,51,2511,17.6,.039,.311,6.8,7.9,17.0,1.7,1.0,11.7,20.0,116,107,5.9,1.8,7.7,.147,2.8,-0.7,2.1,2.6,Guard,johnsvi01
Johnny High,1982-83,25,PHO,NBA,7.2,82,2,1155,8.6,.023,.627,4.5,9.6,16.3,3.5,1.6,27.7,13.5,87,98,-1.0,2.2,1.2,.051,-3.5,3.0,-0.5,0.4,Guard,highjo01
Dennis Johnson,1982-83,28,PHO,NBA,7.2,77,74,2551,14.8,.036,.429,4.2,10.1,20.4,1.8,0.9,16.6,19.6,106,102,3.0,3.6,6.6,.125,0.2,0.9,1.1,2.0,Guard,johnsde01
Michael Cooper,1982-83,26,LAL,NBA,7.1,82,3,2148,13.5,.042,.262,4.4,9.5,16.7,2.5,1.2,18.8,12.5,114,105,3.1,2.1,5.2,.116,0.8,1.2,2.0,2.2,Guard,coopemi01
George Gervin,1982-83,30,SAS,NBA,6.9,78,78,2830,20.5,.021,.390,4.4,9.1,14.0,1.4,1.3,12.0,29.1,112,108,7.6,1.8,9.4,.159,2.7,-1.6,1.1,2.2,Guard,gervige01
Trent Tucker,1982-83,23,NYK,NBA,6.9,78,59,1830,11.6,.046,.099,4.8,9.1,16.1,1.5,0.2,9.4,17.3,104,102,1.5,2.4,4.0,.104,-0.3,0.5,0.2,1.0,Guard,tucketr01
Rolando Blackman,1982-83,23,DAL,NBA,6.7,75,62,2349,17.0,.014,.366,4.9,8.6,11.1,0.7,0.7,8.9,22.3,114,113,5.5,0.1,5.7,.116,2.0,-2.6,-0.6,0.8,Guard,blackro01
Quintin Dailey,1982-83,22,CHI,NBA,6.7,76,32,2081,14.1,.025,.280,4.5,8.9,20.3,1.6,0.3,15.3,24.8,100,110,1.3,0.9,2.1,.049,0.0,-2.0,-2.0,0.0,Guard,dailequ01
Ernie Grunfeld,1982-83,27,NYK,NBA,6.7,77,0,1422,8.9,.011,.260,3.4,10.1,13.5,1.4,0.4,16.7,15.1,98,102,0.2,1.9,2.2,.073,-2.6,0.9,-1.8,0.1,Guard,grunfer01
David Thompson,1982-83,28,SEA,NBA,6.7,75,64,2155,16.1,.011,.411,5.0,8.2,14.7,1.0,0.8,13.0,23.3,108,106,3.6,1.8,5.4,.120,0.8,-1.0,-0.2,1.0,Guard,thompda01
Quinn Buckner,1982-83,28,BOS,NBA,6.4,72,56,1565,11.5,.007,.209,4.3,8.5,22.6,3.2,0.2,20.6,19.3,93,102,-0.7,2.2,1.6,.048,-1.8,0.8,-0.9,0.4,Guard,bucknqu01
John Long,1982-83,26,DET,NBA,6.3,70,30,1485,10.8,.010,.211,3.8,8.9,10.1,1.3,0.4,16.0,23.4,93,108,-0.7,0.9,0.2,.005,-3.3,-2.4,-5.7,-1.4,Guard,longjo01
Fat Lever,1982-83,22,POR,NBA,6.2,81,45,2020,14.8,.025,.268,4.7,7.8,28.2,3.6,0.4,17.1,16.1,104,103,1.7,2.6,4.4,.104,0.3,1.0,1.2,1.7,Guard,leverfa01
Sleepy Floyd,1982-83,22,TOT,NBA,6.0,76,17,1248,13.8,.047,.342,4.8,7.3,15.3,2.1,0.8,14.9,22.4,103,106,1.0,1.1,2.2,.083,-0.9,-1.3,-2.2,-0.1,Guard,floydsl01
Johnny Moore,1982-83,24,SAS,NBA,5.9,77,73,2552,17.5,.026,.237,2.9,8.7,37.8,3.5,0.7,19.6,18.0,108,104,3.8,2.8,6.6,.123,1.6,0.4,1.9,2.5,Guard,moorejo01
Danny Ainge,1982-83,23,BOS,NBA,5.6,80,76,2048,13.2,.040,.135,4.4,6.8,16.1,2.5,0.2,11.4,16.5,110,104,2.8,2.4,5.2,.121,0.8,0.4,1.1,1.6,Guard,aingeda01
Darrell Griffith,1982-83,24,UTA,NBA,5.6,77,76,2787,15.8,.085,.158,3.8,7.2,15.6,2.2,0.6,13.2,26.9,98,107,0.6,2.2,2.8,.048,0.5,-1.3,-0.8,0.9,Guard,griffda01
Phil Smith,1982-83,30,SEA,NBA,5.6,79,17,1238,11.7,.020,.333,2.4,8.5,22.8,1.7,0.3,18.2,18.1,99,105,0.4,1.2,1.7,.065,-2.2,-0.8,-3.0,-0.3,Guard,smithph01
Reggie Theus,1982-83,25,CHI,NBA,5.6,82,81,2856,19.2,.058,.346,3.4,7.8,27.1,2.3,0.3,15.1,28.8,106,109,5.0,1.6,6.5,.110,3.2,-1.8,1.4,2.4,Guard,theusre01
Isiah Thomas,1982-83,21,DET,NBA,5.5,81,81,3093,18.9,.081,.337,3.5,7.7,30.3,2.9,0.5,15.6,26.1,105,105,4.5,3.0,7.4,.115,3.1,-0.7,2.4,3.4,Guard,thomais01
Foots Walker,1982-83,31,NJN,NBA,5.5,79,10,1388,11.4,.048,.596,2.5,8.5,23.5,2.6,0.1,24.8,11.9,107,101,1.3,2.2,3.4,.118,-1.9,0.5,-1.3,0.2,Guard,walkefo01
Mike Woodson,1982-83,24,KCK,NBA,5.5,81,3,2426,18.9,.029,.327,3.7,7.3,15.0,2.5,1.4,11.6,23.7,112,105,5.3,2.4,7.8,.153,2.2,-0.1,2.1,2.5,Guard,woodsmi01
Darwin Cook,1982-83,24,NJN,NBA,5.2,82,47,2625,14.3,.039,.245,3.2,7.1,23.6,3.4,1.1,17.9,19.9,100,99,1.3,4.7,6.0,.110,-0.5,1.7,1.2,2.1,Guard,cookda01
Rory Sparrow,1982-83,24,TOT,NBA,5.2,81,58,2428,13.2,.027,.246,2.8,7.7,24.1,2.2,0.1,18.0,18.9,101,104,1.4,2.9,4.2,.084,-0.2,0.1,-0.1,1.2,Guard,sparrro01
Kyle Macy,1982-83,25,PHO,NBA,5.0,82,9,1836,16.1,.120,.233,2.6,7.1,21.0,1.6,0.2,11.4,17.5,118,104,4.3,2.2,6.4,.168,1.6,-1.1,0.5,1.2,Guard,macyky01
Kelvin Ransey,1982-83,24,DAL,NBA,4.9,76,4,1607,15.7,.021,.267,2.9,7.0,24.3,1.7,0.1,13.4,23.7,105,112,1.9,0.3,2.2,.066,0.5,-3.0,-2.5,-0.2,Guard,ranseke01
Andrew Toney,1982-83,25,PHI,NBA,4.8,81,81,2474,17.9,.061,.329,1.9,7.5,22.5,1.5,0.4,15.9,27.3,108,104,4.6,2.7,7.3,.141,2.0,-1.4,0.6,1.6,Guard,toneyan01
Rob Williams,1982-83,21,DEN,NBA,4.8,74,33,1443,10.7,.032,.372,2.6,7.0,28.8,2.6,0.4,25.4,18.7,92,109,-0.8,0.7,-0.1,-.004,-2.6,-2.0,-4.6,-0.9,Guard,williro02
Butch Carter,1982-83,24,IND,NBA,4.7,81,28,1716,14.9,.072,.218,3.7,5.8,15.5,2.1,0.4,13.2,20.4,109,111,2.6,0.5,3.0,.085,0.8,-2.4,-1.6,0.2,Guard,cartebu01
Brad Davis,1982-83,27,DAL,NBA,4.6,79,78,2323,17.9,.068,.350,1.5,7.7,31.3,1.6,0.3,16.5,14.8,125,111,6.8,0.5,7.3,.152,2.9,-2.5,0.4,1.4,Guard,davisbr01
Maurice Cheeks,1982-83,26,PHI,NBA,4.5,79,79,2465,18.6,.008,.322,2.4,6.4,29.6,3.5,0.7,17.4,16.6,117,101,5.6,3.8,9.4,.183,2.7,1.1,3.8,3.6,Guard,cheekma01
Mike Dunleavy,1982-83,28,SAS,NBA,4.5,79,9,1619,14.0,.380,.302,1.3,7.5,33.6,2.1,0.1,21.7,18.2,107,108,2.1,1.0,3.1,.093,0.9,-2.7,-1.8,0.1,Guard,dunlemi01
Walter Davis,1982-83,28,PHO,NBA,4.4,80,79,2491,19.1,.018,.175,2.9,5.7,25.1,2.2,0.3,11.9,25.8,109,103,4.9,3.2,8.1,.156,2.6,-1.2,1.4,2.2,Guard,daviswa03
World B. Free,1982-83,29,TOT,NBA,4.3,73,69,2638,18.4,.032,.410,3.8,4.8,18.2,1.8,0.3,11.1,29.6,106,110,4.5,1.2,5.7,.104,2.5,-2.6,-0.1,1.3,Guard,freewo01
Mike Glenn,1982-83,27,ATL,NBA,4.3,73,4,1124,15.1,.002,.200,1.5,7.0,17.3,1.3,0.5,9.7,19.8,112,106,2.0,0.9,2.9,.126,0.2,-1.9,-1.6,0.1,Guard,glennmi01
Gerald Henderson,1982-83,27,BOS,NBA,4.3,82,9,1551,12.1,.026,.215,4.0,4.6,16.7,2.8,0.1,15.9,20.3,99,104,0.5,1.8,2.3,.073,-1.1,-0.6,-1.7,0.1,Guard,hendege01
Larry Drew,1982-83,24,KCK,NBA,4.2,75,74,2690,18.1,.013,.310,1.8,6.6,31.6,2.1,0.2,16.4,23.7,109,107,5.1,2.1,7.2,.128,2.2,-1.6,0.6,1.8,Guard,drewla01
Norm Nixon,1982-83,27,LAL,NBA,4.2,79,79,2711,13.9,.012,.150,2.6,5.6,25.8,1.8,0.1,16.5,20.9,103,109,2.5,1.4,3.9,.069,-0.2,-2.0,-2.2,-0.1,Guard,nixonno01
Rickey Green,1982-83,28,UTA,NBA,4.1,78,78,2783,17.2,.014,.246,2.3,5.7,34.5,3.5,0.1,17.5,17.8,108,105,3.8,2.8,6.6,.114,1.3,-0.7,0.5,1.8,Guard,greenri01
Ron Brewer,1982-83,27,TOT,NBA,4.0,74,52,1964,11.5,.022,.211,3.2,4.9,6.9,2.1,0.7,9.9,20.0,99,109,0.6,0.9,1.6,.038,-1.8,-1.4,-3.3,-0.6,Guard,brewero01
John Duren,1982-83,24,IND,NBA,4.0,82,24,1433,8.2,.036,.150,2.7,5.5,17.0,2.1,0.2,20.0,13.1,97,111,0.0,0.4,0.4,.013,-2.8,-1.7,-4.5,-0.9,Guard,durenjo01
Allen Leavell,1982-83,25,HOU,NBA,4.0,79,76,2602,15.8,.165,.280,2.5,5.7,30.1,3.0,0.3,14.3,21.3,103,108,2.3,1.5,3.8,.071,1.5,-1.4,0.1,1.4,Guard,leaveal01
Gus Williams,1982-83,29,SEA,NBA,4.0,80,80,2761,20.5,.031,.267,2.9,4.9,34.8,3.1,0.5,12.9,25.8,108,104,5.2,3.3,8.5,.148,3.2,-0.5,2.7,3.3,Guard,willigu01
Jerry Eaves,1982-83,23,UTA,NBA,3.9,82,7,1588,13.0,.014,.430,2.2,5.5,18.5,1.4,0.1,18.2,20.6,103,109,1.2,0.8,2.0,.061,-1.5,-2.8,-4.2,-0.9,Guard,eavesje01
Randy Smith,1982-83,34,TOT,NBA,3.9,80,16,1406,14.5,.032,.232,2.8,5.1,20.5,1.9,0.0,13.6,20.1,109,112,2.2,0.3,2.5,.085,0.1,-3.4,-3.3,-0.5,Guard,smithra01
